order_id,order_date,ship_date,ship_mode,customer_id
ORD-00084,2022-04-16,2022-04-19,Second Class,C0481
ORD-00085,2024-06-05,2024-06-07,Same Day,C0380
ORD-00086,2023-03-04,2023-03-05,Standard Class,C0258
ORD-00087,2022-11-13,2022-11-15,Standard Class,C0347
ORD-00088,2023-09-27,2023-10-01,First Class,C0240
ORD-00089,2022-01-09,2022-01-15,Standard Class,C0315
ORD-00090,2024-02-13,2024-02-15,Standard Class,C0214
ORD-00091,2022-08-11,2022-08-15,First Class,C0098
ORD-00092,2023-07-07,2023-07-12,Standard Class,C0016
ORD-00093,2023-12-17,2023-12-20,Standard Class,C0404
ORD-00094,2022-04-21,2022-04-25,First Class,C0154
ORD-00095,2022-09-08,2022-09-13,Standard Class,C0016
ORD-00096,2023-01-18,2023-01-20,First Class,C0198
ORD-00097,2022-01-07,2022-01-09,Standard Class,C0493
ORD-00098,2023-04-04,2023-04-05,Second Class,C0108
ORD-00099,2022-07-27,2022-08-02,Standard Class,C0023
ORD-00100,2024-06-18,2024-06-24,Second Class,C0042
ORD-00101,2022-01-22,2022-01-26,Standard Class,C0037
ORD-00102,2023-02-14,2023-02-16,First Class,C0328
ORD-00103,2024-06-13,2024-06-16,Standard Class,C0390
ORD-00104,2023-05-30,2023-06-01,Standard Class,C0165
ORD-00105,2024-03-19,2024-03-20,Second Class,C0116
ORD-00106,2024-05-23,2024-05-27,Standard Class,C0150
ORD-00107,2022-01-14,2022-01-20,Standard Class,C0006
ORD-00108,2024-08-28,2024-09-03,Standard Class,C0032
ORD-00109,2024-09-04,2024-09-08,Standard Class,C0145
ORD-00110,2024-10-10,2024-10-12,Standard Class,C0294
ORD-00111,2024-11-01,2024-11-03,Standard Class,C0401
ORD-00112,2022-03-28,2022-03-31,Standard Class,C0293
ORD-00113,2024-06-27,2024-07-01,Second Class,C0407
ORD-00114,2022-05-02,2022-05-07,Standard Class,C0177
ORD-00115,2024-01-20,2024-01-23,Standard Class,C0445
ORD-00116,2023-11-16,2023-11-19,Same Day,C0177
ORD-00117,2022-11-05,2022-11-06,First Class,C0061
ORD-00118,2023-11-26,2023-11-28,Standard Class,C0077
ORD-00119,2022-10-15,2022-10-18,Standard Class,C0416
ORD-00120,2022-11-03,2022-11-05,First Class,C0383
ORD-00121,2024-07-02,2024-07-05,Standard Class,C0086
ORD-00122,2023-10-24,2023-10-29,Standard Class,C0191
ORD-00123,2023-07-03,2023-07-06,Standard Class,C0007
ORD-00124,2022-11-08,2022-11-10,Second Class,C0406
ORD-00125,2024-05-22,2024-05-24,Standard Class,C0085
ORD-00126,2024-12-18,2024-12-21,Second Class,C0262
ORD-00127,2024-07-12,2024-07-15,Second Class,C0445
ORD-00128,2024-01-25,2024-01-28,Standard Class,C0398
ORD-00129,2022-02-04,2022-02-07,First Class,C0400
ORD-00130,2023-03-21,2023-03-24,Standard Class,C0259
ORD-00131,2022-04-03,2022-04-07,Standard Class,C0393
ORD-00132,2022-12-19,2022-12-22,Standard Class,C0047
ORD-00133,2024-06-21,2024-06-26,Standard Class,C0341
ORD-00134,2024-05-11,2024-05-14,Standard Class,C0498
ORD-00135,2022-06-08,2022-06-10,Standard Class,C0094
ORD-00136,2024-08-14,2024-08-17,Standard Class,C0478
ORD-00137,2022-01-24,2022-01-27,Standard Class,C0426
ORD-00138,2023-02-08,2023-02-14,Standard Class,C0426
ORD-00139,2024-03-15,2024-03-19,Second Class,C0224
ORD-00140,2023-05-31,2023-06-06,Standard Class,C0279
ORD-00141,2024-01-02,2024-01-08,Second Class,C0003
ORD-00142,2023-06-16,2023-06-20,Standard Class,C0129
ORD-00143,2024-08-13,2024-08-16,Standard Class,C0323
ORD-00144,2022-06-01,2022-06-04,Standard Class,C0249
ORD-00145,2024-08-04,2024-08-11,Standard Class,C0229
ORD-00146,2023-08-31,2023-09-04,Standard Class,C0327
ORD-00147,2023-02-24,2023-02-26,Standard Class,C0131
ORD-00148,2024-05-15,2024-05-19,Same Day,C0228
ORD-00149,2023-08-01,2023-08-03,Same Day,C0177
ORD-00150,2022-12-01,2022-12-04,Standard Class,C0323
ORD-00151,2024-07-20,2024-07-22,Second Class,C0311
ORD-00152,2022-10-22,2022-10-26,Standard Class,C0388
ORD-00153,2024-01-25,2024-01-30,Standard Class,C0031
ORD-00154,2022-07-05,2022-07-07,Second Class,C0066
ORD-00155,2023-09-29,2023-10-01,Standard Class,C0206
ORD-00156,2023-06-14,2023-06-16,Standard Class,C0101
ORD-00157,2022-01-21,2022-01-25,Standard Class,C0320
ORD-00158,2024-06-29,2024-07-02,Standard Class,C0031
ORD-00159,2024-05-16,2024-05-18,Standard Class,C0373
ORD-00160,2024-03-04,2024-03-06,Standard Class,C0191
ORD-00161,2022-04-10,2022-04-13,Standard Class,C0066
ORD-00162,2024-01-22,2024-01-24,Standard Class,C0415
ORD-00163,2023-04-23,2023-04-27,Second Class,C0303
ORD-00164,2024-07-28,2024-07-30,Standard Class,C0235
ORD-00165,2023-06-10,2023-06-14,Second Class,C0278
ORD-00166,2022-11-30,2022-12-02,Second Class,C0202
ORD-00167,2022-01-02,2022-01-05,Second Class,C0500
ORD-00168,2023-01-10,2023-01-12,Second Class,C0350
ORD-00169,2022-10-20,2022-10-24,Standard Class,C0225
ORD-00170,2024-04-16,2024-04-22,Standard Class,C0083
ORD-00171,2024-10-01,2024-10-07,Standard Class,C0046
ORD-00172,2023-07-07,2023-07-10,Same Day,C0089
ORD-00173,2022-11-14,2022-11-17,Standard Class,C0186
ORD-00174,2023-01-16,2023-01-21,Standard Class,C0375
ORD-00175,2022-01-14,2022-01-18,Standard Class,C0189
ORD-00176,2023-05-19,2023-05-21,Same Day,C0246
ORD-00177,2022-08-19,2022-08-24,Standard Class,C0046
ORD-00178,2022-05-10,2022-05-13,Standard Class,C0257
ORD-00179,2024-04-17,2024-04-19,Standard Class,C0352
ORD-00180,2024-06-09,2024-06-11,Same Day,C0409
ORD-00181,2022-01-28,2022-01-30,Standard Class,C0061
ORD-00182,2022-03-07,2022-03-10,Standard Class,C0105
ORD-00183,2022-09-18,2022-09-20,Second Class,C0337
ORD-00184,2023-04-05,2023-04-07,Standard Class,C0014
ORD-00185,2022-10-28,2022-10-30,First Class,C0301
ORD-00186,2024-07-07,2024-07-10,Standard Class,C0077
ORD-00187,2022-10-14,2022-10-18,Standard Class,C0230
ORD-00188,2024-10-30,2024-11-02,First Class,C0167
ORD-00189,2023-09-22,2023-09-23,Same Day,C0066
ORD-00190,2022-09-27,2022-09-29,Standard Class,C0032
ORD-00191,2023-08-15,2023-08-21,Standard Class,C0096
ORD-00192,2024-04-23,2024-04-26,First Class,C0058
ORD-00193,2024-05-11,2024-05-14,Standard Class,C0104
ORD-00194,2022-05-13,2022-05-14,First Class,C0312
ORD-00195,2024-08-29,2024-09-02,First Class,C0134
ORD-00196,2023-05-28,2023-05-31,Standard Class,C0217
ORD-00197,2022-11-09,2022-11-11,Same Day,C0067
ORD-00198,2023-07-30,2023-08-01,Standard Class,C0466
ORD-00199,2024-06-04,2024-06-07,Second Class,C0178
ORD-00200,2023-11-18,2023-11-23,Standard Class,C0374
ORD-00201,2022-06-14,2022-06-19,First Class,C0247
ORD-00202,2022-11-01,2022-11-05,Second Class,C0294
ORD-00203,2022-06-05,2022-06-09,Second Class,C0235
ORD-00204,2023-09-12,2023-09-14,First Class,C0131
ORD-00205,2024-08-14,2024-08-17,Standard Class,C0112
ORD-00206,2022-11-30,2022-12-04,Standard Class,C0389
ORD-00207,2024-08-26,2024-08-28,First Class,C0408
ORD-00208,2023-05-26,2023-05-31,Second Class,C0054
ORD-00209,2024-11-09,2024-11-11,First Class,C0290
ORD-00210,2022-10-09,2022-10-12,First Class,C0239
ORD-00211,2024-03-07,2024-03-11,Standard Class,C0240
ORD-00212,2024-10-21,2024-10-25,Standard Class,C0295
ORD-00213,2022-04-29,2022-05-03,Standard Class,C0112
ORD-00214,2024-11-24,2024-11-26,Second Class,C0088
ORD-00215,2022-07-17,2022-07-22,Standard Class,C0228
ORD-00216,2023-04-30,2023-05-03,Second Class,C0476
ORD-00217,2024-12-18,2024-12-21,Standard Class,C0304
ORD-00218,2024-04-16,2024-04-23,Standard Class,C0305
ORD-00219,2024-10-05,2024-10-09,Standard Class,C0290
ORD-00220,2023-11-22,2023-11-24,Standard Class,C0208
ORD-00221,2024-11-01,2024-11-05,Second Class,C0356
ORD-00222,2023-05-05,2023-05-07,Standard Class,C0391
ORD-00223,2022-10-03,2022-10-04,Standard Class,C0274
ORD-00224,2023-11-24,2023-11-27,Standard Class,C0070
ORD-00225,2022-08-30,2022-09-06,Second Class,C0370
ORD-00226,2022-05-06,2022-05-08,First Class,C0220
ORD-00227,2022-08-05,2022-08-09,Standard Class,C0231
ORD-00228,2024-11-28,2024-11-30,Second Class,C0290
ORD-00229,2023-05-10,2023-05-14,Standard Class,C0307
ORD-00230,2023-03-03,2023-03-06,Standard Class,C0361
ORD-00231,2024-07-07,2024-07-11,Second Class,C0349
ORD-00232,2022-05-31,2022-06-02,Standard Class,C0255
ORD-00233,2023-01-19,2023-01-23,Second Class,C0452
ORD-00234,2022-11-04,2022-11-11,Standard Class,C0142
ORD-00235,2024-01-16,2024-01-20,Same Day,C0069
ORD-00236,2024-06-10,2024-06-13,Standard Class,C0089
ORD-00237,2023-01-10,2023-01-16,Standard Class,C0359
ORD-00238,2024-10-28,2024-10-29,First Class,C0136
ORD-00239,2022-05-09,2022-05-13,Standard Class,C0143
ORD-00240,2024-10-11,2024-10-16,Standard Class,C0339
ORD-00241,2023-10-31,2023-11-02,Standard Class,C0187
ORD-00242,2023-06-01,2023-06-04,Standard Class,C0011
ORD-00243,2022-03-27,2022-03-29,Standard Class,C0148
ORD-00244,2022-11-07,2022-11-10,Standard Class,C0439
ORD-00245,2023-03-03,2023-03-07,Second Class,C0292
ORD-00246,2022-04-24,2022-04-27,Standard Class,C0338
ORD-00247,2022-10-30,2022-11-02,Second Class,C0398
ORD-00248,2024-01-14,2024-01-16,Standard Class,C0442
ORD-00249,2023-08-11,2023-08-14,Standard Class,C0038
ORD-00250,2024-09-13,2024-09-15,Standard Class,C0345
ORD-00251,2022-12-11,2022-12-16,Standard Class,C0208
ORD-00252,2024-03-24,2024-03-25,Standard Class,C0210
ORD-00253,2024-03-11,2024-03-16,Standard Class,C0001
ORD-00254,2024-10-21,2024-10-24,Standard Class,C0360
ORD-00255,2024-12-12,2024-12-15,Standard Class,C0065
ORD-00256,2024-12-28,2025-01-01,Standard Class,C0001
ORD-00257,2022-12-27,2022-12-30,Standard Class,C0243
ORD-00258,2024-10-06,2024-10-09,Second Class,C0469
ORD-00259,2023-12-05,2023-12-07,Standard Class,C0381
ORD-00260,2023-07-29,2023-08-01,Standard Class,C0316
ORD-00261,2023-11-19,2023-11-21,Standard Class,C0025
ORD-00262,2024-02-20,2024-02-21,Standard Class,C0347
ORD-00263,2023-08-08,2023-08-11,Standard Class,C0394
ORD-00264,2023-08-12,2023-08-14,First Class,C0050
ORD-00265,2023-05-04,2023-05-06,Second Class,C0396
ORD-00266,2024-08-28,2024-08-30,Second Class,C0348
ORD-00267,2023-05-09,2023-05-11,First Class,C0241
ORD-00268,2022-01-19,2022-01-21,Standard Class,C0032
ORD-00269,2023-02-01,2023-02-08,Standard Class,C0033
ORD-00270,2024-09-27,2024-09-28,Second Class,C0200
ORD-00271,2024-04-30,2024-05-04,Standard Class,C0234
ORD-00272,2024-04-01,2024-04-03,Standard Class,C0026
ORD-00273,2023-03-31,2023-04-06,Second Class,C0042
ORD-00274,2023-12-26,2023-12-28,Second Class,C0434
ORD-00275,2024-12-24,2024-12-30,Standard Class,C0061
ORD-00276,2023-12-12,2023-12-16,Standard Class,C0041
ORD-00277,2022-05-23,2022-05-24,Second Class,C0441
ORD-00278,2024-07-05,2024-07-10,First Class,C0130
ORD-00279,2024-04-07,2024-04-10,Second Class,C0355
ORD-00280,2023-08-28,2023-08-30,Same Day,C0354
ORD-00281,2022-11-01,2022-11-05,Standard Class,C0198
ORD-00282,2024-01-06,2024-01-12,Standard Class,C0287
ORD-00283,2022-10-18,2022-10-21,Standard Class,C0151
ORD-00284,2022-04-12,2022-04-15,Standard Class,C0204
ORD-00285,2024-05-16,2024-05-20,First Class,C0182
ORD-00286,2024-08-25,2024-08-29,Same Day,C0371
ORD-00287,2024-08-31,2024-09-05,Standard Class,C0412
ORD-00288,2024-04-21,2024-04-25,Standard Class,C0207
ORD-00289,2024-08-19,2024-08-21,Standard Class,C0147
ORD-00290,2024-07-30,2024-08-05,First Class,C0204
ORD-00291,2024-10-23,2024-10-25,Standard Class,C0498
ORD-00292,2022-03-26,2022-03-28,Standard Class,C0048
ORD-00293,2022-11-24,2022-11-27,Standard Class,C0258
ORD-00294,2024-03-26,2024-03-29,Standard Class,C0139
ORD-00295,2023-03-30,2023-03-31,First Class,C0172
ORD-00296,2023-09-21,2023-09-25,Standard Class,C0101
ORD-00297,2023-10-27,2023-10-30,Standard Class,C0187
ORD-00298,2022-01-12,2022-01-15,Standard Class,C0384
ORD-00299,2022-10-31,2022-11-05,Standard Class,C0315
ORD-00300,2024-09-01,2024-09-04,Second Class,C0376
ORD-00301,2024-02-22,2024-02-23,Standard Class,C0294
ORD-00302,2022-02-12,2022-02-14,Standard Class,C0409
ORD-00303,2024-08-01,2024-08-07,First Class,C0363
ORD-00304,2022-12-09,2022-12-11,Standard Class,C0021
ORD-00305,2023-05-13,2023-05-16,Second Class,C0298
ORD-00306,2022-12-30,2023-01-02,Standard Class,C0420
ORD-00307,2024-06-09,2024-06-12,Standard Class,C0393
ORD-00308,2023-03-03,2023-03-04,Second Class,C0396
ORD-00309,2024-10-01,2024-10-04,First Class,C0010
ORD-00310,2022-01-21,2022-01-24,Standard Class,C0187
ORD-00311,2023-02-11,2023-02-18,Standard Class,C0494
ORD-00312,2023-09-11,2023-09-13,Standard Class,C0133
ORD-00313,2024-10-11,2024-10-14,Standard Class,C0033
ORD-00314,2022-12-02,2022-12-05,Standard Class,C0069
ORD-00315,2023-02-03,2023-02-06,Second Class,C0080
ORD-00316,2024-03-03,2024-03-07,Standard Class,C0191
ORD-00317,2023-12-16,2023-12-18,Standard Class,C0101
ORD-00318,2022-02-20,2022-02-22,Standard Class,C0485
ORD-00319,2022-11-20,2022-11-24,Standard Class,C0285
ORD-00320,2024-02-28,2024-03-02,Second Class,C0402
ORD-00321,2022-05-21,2022-05-24,Standard Class,C0221
ORD-00322,2023-04-15,2023-04-17,Standard Class,C0390
ORD-00323,2024-02-26,2024-02-28,Same Day,C0053
ORD-00324,2024-08-21,2024-08-22,Standard Class,C0466
ORD-00325,2024-10-04,2024-10-06,Standard Class,C0160
ORD-00326,2023-01-08,2023-01-11,Standard Class,C0380
ORD-00327,2023-05-09,2023-05-14,Same Day,C0042
ORD-00328,2024-01-21,2024-01-23,Same Day,C0047
ORD-00329,2022-10-18,2022-10-21,Standard Class,C0159
ORD-00330,2022-04-16,2022-04-18,Standard Class,C0446
ORD-00331,2023-11-01,2023-11-04,First Class,C0184
ORD-00332,2022-01-02,2022-01-03,Standard Class,C0246
ORD-00333,2023-08-12,2023-08-18,Standard Class,C0011
ORD-00334,2023-10-06,2023-10-10,First Class,C0154
ORD-00335,2022-03-31,2022-04-07,Standard Class,C0220
ORD-00336,2022-12-16,2022-12-21,Standard Class,C0155
ORD-00337,2024-11-28,2024-12-01,First Class,C0339
ORD-00338,2024-06-27,2024-06-30,Standard Class,C0441
ORD-00339,2022-06-08,2022-06-10,Standard Class,C0365
ORD-00340,2024-08-16,2024-08-19,Standard Class,C0283
ORD-00341,2022-11-08,2022-11-14,Standard Class,C0187
ORD-00342,2023-03-21,2023-03-23,Standard Class,C0062
ORD-00343,2022-10-25,2022-10-30,Standard Class,C0148
ORD-00344,2024-08-09,2024-08-12,Second Class,C0387
ORD-00345,2022-02-05,2022-02-10,First Class,C0144
ORD-00346,2023-07-13,2023-07-19,Standard Class,C0103
ORD-00347,2024-06-09,2024-06-13,Second Class,C0300
ORD-00348,2022-05-21,2022-05-25,Second Class,C0093
ORD-00349,2024-06-05,2024-06-08,Second Class,C0463
ORD-00350,2023-12-27,2024-01-01,Standard Class,C0286
ORD-00351,2024-11-15,2024-11-21,First Class,C0424
ORD-00352,2023-06-05,2023-06-09,Standard Class,C0119
ORD-00353,2022-01-10,2022-01-14,Standard Class,C0497
ORD-00354,2024-09-10,2024-09-14,Standard Class,C0449
ORD-00355,2023-01-13,2023-01-18,Second Class,C0029
ORD-00356,2023-11-13,2023-11-16,Standard Class,C0030
ORD-00357,2023-08-07,2023-08-12,Standard Class,C0360
ORD-00358,2022-06-01,2022-06-04,Second Class,C0366
ORD-00359,2023-12-21,2023-12-23,First Class,C0288
ORD-00360,2024-12-08,2024-12-11,Second Class,C0138
ORD-00361,2024-05-08,2024-05-11,Standard Class,C0475
ORD-00362,2022-02-19,2022-02-21,Standard Class,C0051
ORD-00363,2023-10-26,2023-10-28,Second Class,C0392
ORD-00364,2023-06-15,2023-06-18,Standard Class,C0435
ORD-00365,2024-12-19,2024-12-21,Second Class,C0292
ORD-00366,2024-05-06,2024-05-09,Standard Class,C0234
ORD-00367,2022-05-26,2022-05-30,First Class,C0055
ORD-00368,2024-07-03,2024-07-09,Standard Class,C0419
ORD-00369,2024-09-19,2024-09-23,Standard Class,C0292
ORD-00370,2022-08-30,2022-09-06,First Class,C0240
ORD-00371,2023-08-04,2023-08-08,Standard Class,C0312
ORD-00372,2023-11-18,2023-11-20,Standard Class,C0036
ORD-00373,2023-04-28,2023-05-02,First Class,C0089
ORD-00374,2023-11-04,2023-11-08,Standard Class,C0212
ORD-00375,2023-09-23,2023-09-26,Standard Class,C0445
ORD-00376,2023-10-23,2023-10-24,Standard Class,C0318
ORD-00377,2023-10-24,2023-10-28,Standard Class,C0500
ORD-00378,2024-03-15,2024-03-16,Standard Class,C0365
ORD-00379,2023-02-23,2023-02-27,Second Class,C0245
ORD-00380,2024-09-14,2024-09-16,Second Class,C0465
ORD-00381,2023-10-12,2023-10-15,Standard Class,C0087
ORD-00382,2024-08-26,2024-08-29,Standard Class,C0409
ORD-00383,2023-08-13,2023-08-14,First Class,C0240
ORD-00384,2023-05-24,2023-05-27,Same Day,C0320
ORD-00385,2023-03-17,2023-03-21,Standard Class,C0188
ORD-00386,2024-07-09,2024-07-14,First Class,C0057
ORD-00387,2024-02-09,2024-02-14,Second Class,C0113
ORD-00388,2022-09-20,2022-09-23,Standard Class,C0223
ORD-00389,2023-09-29,2023-10-03,Standard Class,C0070
ORD-00390,2023-04-04,2023-04-07,Standard Class,C0227
ORD-00391,2024-09-25,2024-09-28,First Class,C0256
ORD-00392,2023-12-01,2023-12-03,Second Class,C0180
ORD-00393,2022-10-29,2022-11-01,Second Class,C0184
ORD-00394,2023-07-08,2023-07-11,Standard Class,C0191
ORD-00395,2022-10-15,2022-10-17,Second Class,C0452
ORD-00396,2023-09-13,2023-09-17,Second Class,C0232
ORD-00397,2024-10-02,2024-10-06,First Class,C0276
ORD-00398,2022-02-05,2022-02-08,Standard Class,C0233
ORD-00399,2024-01-14,2024-01-16,Second Class,C0054
ORD-00400,2022-12-19,2022-12-22,Standard Class,C0257
ORD-00401,2022-03-14,2022-03-17,Second Class,C0493
ORD-00402,2023-10-10,2023-10-14,Second Class,C0090
ORD-00403,2024-12-29,2025-01-01,Standard Class,C0226
ORD-00404,2023-03-01,2023-03-05,Second Class,C0247
ORD-00405,2024-09-25,2024-09-30,Standard Class,C0394
ORD-00406,2023-12-09,2023-12-11,First Class,C0151
ORD-00407,2023-07-15,2023-07-22,Standard Class,C0435
ORD-00408,2024-04-07,2024-04-10,Second Class,C0113
ORD-00409,2024-08-13,2024-08-15,First Class,C0408
ORD-00410,2023-06-01,2023-06-04,Standard Class,C0269
ORD-00411,2023-03-04,2023-03-06,Standard Class,C0157
ORD-00412,2022-06-09,2022-06-11,Standard Class,C0442
ORD-00413,2022-05-29,2022-06-01,Standard Class,C0366
ORD-00414,2024-02-15,2024-02-19,Standard Class,C0347
ORD-00415,2022-03-08,2022-03-14,Second Class,C0351
ORD-00416,2024-10-10,2024-10-14,First Class,C0299
ORD-00417,2023-01-16,2023-01-18,First Class,C0394
ORD-00418,2022-02-27,2022-03-03,Standard Class,C0159
ORD-00419,2022-12-08,2022-12-12,Second Class,C0487
ORD-00420,2023-12-28,2024-01-02,First Class,C0330
ORD-00421,2024-02-09,2024-02-14,Standard Class,C0472
ORD-00422,2023-09-06,2023-09-11,Standard Class,C0225
ORD-00423,2022-12-20,2022-12-23,Standard Class,C0014
ORD-00424,2022-04-26,2022-04-30,First Class,C0355
ORD-00425,2023-10-24,2023-10-26,Standard Class,C0109
ORD-00426,2023-03-29,2023-04-05,Second Class,C0418
ORD-00427,2022-10-14,2022-10-16,Standard Class,C0401
ORD-00428,2024-10-13,2024-10-14,Same Day,C0405
ORD-00429,2022-11-07,2022-11-09,Standard Class,C0096
ORD-00430,2022-07-27,2022-07-31,Second Class,C0195
ORD-00431,2023-09-10,2023-09-13,Standard Class,C0058
ORD-00432,2023-03-22,2023-03-25,Standard Class,C0463
ORD-00433,2023-11-01,2023-11-07,Second Class,C0392
ORD-00434,2023-09-25,2023-10-01,Same Day,C0352
ORD-00435,2022-02-24,2022-02-27,Standard Class,C0294
ORD-00436,2024-06-30,2024-07-02,Standard Class,C0154
ORD-00437,2024-11-01,2024-11-06,Standard Class,C0064
ORD-00438,2023-10-19,2023-10-25,Standard Class,C0158
ORD-00439,2024-09-06,2024-09-09,Standard Class,C0265
ORD-00440,2023-05-30,2023-06-03,Second Class,C0121
ORD-00441,2022-08-25,2022-08-27,First Class,C0288
ORD-00442,2022-12-14,2022-12-19,Standard Class,C0011
ORD-00443,2023-09-19,2023-09-23,Standard Class,C0214
ORD-00444,2023-09-22,2023-09-25,Standard Class,C0162
ORD-00445,2022-12-30,2023-01-01,Standard Class,C0105
ORD-00446,2022-11-17,2022-11-23,Standard Class,C0402
ORD-00447,2022-10-13,2022-10-17,Standard Class,C0147
ORD-00448,2022-05-29,2022-05-31,Standard Class,C0182
ORD-00449,2023-02-10,2023-02-14,Standard Class,C0338
ORD-00450,2024-09-04,2024-09-08,Standard Class,C0037
ORD-00451,2023-04-01,2023-04-04,Standard Class,C0082
ORD-00452,2024-03-10,2024-03-14,Standard Class,C0012
ORD-00453,2024-10-09,2024-10-12,First Class,C0004
ORD-00454,2024-02-23,2024-02-29,Second Class,C0495
ORD-00455,2023-04-05,2023-04-07,First Class,C0043
ORD-00456,2024-01-08,2024-01-10,Standard Class,C0411
ORD-00457,2023-05-24,2023-05-26,Standard Class,C0051
ORD-00458,2023-04-26,2023-04-30,Standard Class,C0261
